snapshot_id,citation_key,title,doi_or_url,verified_utc,claim_supported,verification_notes
crossref_20260924T070837Z,hersbach2020era5,The ERA5 global reanalysis,https://doi.org/10.1002/qj.3803,2026-09-24T07:08:37+00:00,"ERA5 architecture, assimilation, and reanalysis characteristics",Crossref metadata verified; publication date 2020-7. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,dinapoli2021era5heat,ERA5‐HEAT: A global gridded historical dataset of human thermal comfort indices from climate reanalysis,https://doi.org/10.1002/gdj3.102,2026-09-24T07:08:37+00:00,Global gridded thermal-comfort indices can be derived from reanalysis,Crossref metadata verified; publication date 2021-6. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,flanner2009anthropogenic,Integrating anthropogenic heat flux with global climate models,https://doi.org/10.1029/2008GL036465,2026-09-24T07:08:37+00:00,Anthropogenic heat flux is spatially concentrated and can affect regional climate,Crossref metadata verified; publication date 2009-1. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,chen2004anthropogenic,Impacts of anthropogenic heat on regional climate patterns,https://doi.org/10.1029/2004GL019852,2026-09-24T07:08:37+00:00,Regional climate responses to anthropogenic heat have been modeled,Crossref metadata verified; publication date 2004-6. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,li2022allocation,Optimal spatial resource allocation in networks: Application to district heating and cooling,https://doi.org/10.1016/j.cie.2022.108448,2026-09-24T07:08:37+00:00,Spatial allocation of thermal resources can be formulated with transportation theory and linear programming,Crossref metadata verified; publication date 2022-9. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,guelpa2019storage,Thermal energy storage in district heating and cooling systems: A review,https://doi.org/10.1016/j.apenergy.2019.113474,2026-09-24T07:08:37+00:00,Short- and long-duration thermal storage are established district-energy flexibility options,Crossref metadata verified; publication date 2019-10. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,lund2014district,4th Generation District Heating (4GDH),https://doi.org/10.1016/j.energy.2014.02.089,2026-09-24T07:08:37+00:00,Low-temperature district heating integrates thermal resources and storage,Crossref metadata verified; publication date 2014-4. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,peyre2019transport,Computational Optimal Transport with Applications to Data Sciences,https://doi.org/10.1561/2200000073,2026-09-24T07:08:37+00:00,Computational optimal transport provides scalable regularized transport methods,Crossref metadata verified; publication date 2019-2-12. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,john2022oceanmover,Ocean mover’s distance: using optimal transport for analysing oceanographic data,https://doi.org/10.1098/rspa.2021.0875,2026-09-24T07:08:37+00:00,Optimal transport respects spatial displacement in oceanographic fields,Crossref metadata verified; publication date 2022-6. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,parno2019seaice,Remote Measurement of Sea Ice Dynamics With Regularized Optimal Transport,https://doi.org/10.1029/2019GL083037,2026-09-24T07:08:37+00:00,Regularized optimal transport has been applied to sea-ice dynamics,Crossref metadata verified; publication date 2019-5-28. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,vissio2020wasserstein,Evaluating the Performance of Climate Models Based on Wasserstein Distance,https://doi.org/10.1029/2020GL089385,2026-09-24T07:08:37+00:00,Wasserstein distance has been used to evaluate climate-model fields,Crossref metadata verified; publication date 2020-11-16. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,buzan2015heatstress,Implementation and comparison of a suite of heat stress metrics within the Community Land Model version 4.5,https://doi.org/10.5194/gmd-8-151-2015,2026-09-24T07:08:37+00:00,Heat-stress metrics differ materially and should be sensitivity-tested,Crossref metadata verified; publication date 2015-2-5. Claim scope limited to the cited work's documented topic.
crossref_20260924T070837Z,liljegren2008wbgt,Modeling the Wet Bulb Globe Temperature Using Standard Meteorological Measurements,https://doi.org/10.1080/15459620802310770,2026-09-24T07:08:37+00:00,WBGT can be modeled from standard meteorological measurements,Crossref metadata verified; publication date 2008-9-18. Claim scope limited to the cited work's documented topic.
